 User Name ,Age,Account Balance ,Status
User_AB2783,27.0,3270.67,200
User_AB8669,65.0,1139.7,200
User_AB8374,54.0,2089.57,404
User_AB1261,18.0,1268.14,200
User_AB9281,50.0,443.53,200
,55.0,4666.52,404
User_AB7469,49.0,1312.75,404
User_AB6301,29.0,1232.5,500
User_AB7949,57.0,220.43,200
User_AB3247,45.0,191.38,404
User_AB5774,24.0,2953.97,500
User_AB4219,59.0,3555.31,404
User_AB5982,20.0,4824.72,404
User_AB9862,26.0,3233.92,200
User_AB3801,18.0,4495.06,404
User_AB3908,51.0,4304.53,200
User_AB9003,42.0,3736.46,500
User_AB9260,45.0,2519.75,200
User_AB2859,20.0,2211.72,404
User_AB1972,40.0,4364.58,404
User_AB5799,35.0,2694.19,404
User_AB8134,49.0,362.63,200
User_AB3306,29.0,2236.83,404
User_AB4516,42.0,4656.35,200
User_AB6824,40.0,4963.92,OK
User_AB1717,23.0,1391.02,200
User_AB6179,40.0,3724.58,200
User_AB1192,44.0,2961.57,Pending
User_AB4307,31.0,1615.89,404
User_AB4096,,1558.09,200
User_AB6078,60.0,3079.01,200
User_AB8135,54.0,2546.53,404
User_AB9092,29.0,2339.48,404
User_AB8714,28.0,3873.1,OK
,33.0,185.68,Error
,24.0,2082.77,404
User_AB3900,45.0,2745.3,404
User_AB6067,32.0,3804.91,200
User_AB9337,51.0,3068.9,500
User_AB4982,29.0,1633.0,404
User_AB3957,28.0,180.8,200
User_AB4319,54.0,2727.9,200
User_AB3525,18.0,2720.97,500
User_AB3153,42.0,1700.52,404
User_AB7981,23.0,1186.25,500
User_AB7478,32.0,3935.73,200
User_AB1338,22.0,988.09,200
,,4857.34,500
User_AB3855,54.0,4070.47,500
,43.0,3405.98,404
User_AB3887,43.0,2498.27,404
User_AB8166,29.0,3832.43,200
,49.0,344.85,500
User_AB8213,45.0,2992.45,200
User_AB5003,43.0,2952.59,500
User_AB2057,34.0,4611.16,500
User_AB5072,30.0,3820.73,500
User_AB2132,,2807.11,404
User_AB2542,61.0,1530.72,404
User_AB8012,34.0,1927.49,500
User_AB6816,28.0,888.41,404
User_AB4253,22.0,485.53,404
User_AB4826,33.0,2196.7,200
User_AB5624,58.0,1740.0,404
User_AB5361,57.0,1473.55,500
,60.0,3966.67,404
User_AB8600,43.0,3439.01,OK
User_AB1275,38.0,3889.11,404
User_AB4564,41.0,4271.76,404
User_AB3911,,4369.92,500
User_AB6403,28.0,287.25,Error
User_AB5725,44.0,3045.08,500
User_AB2840,18.0,1665.41,Pending
User_AB3077,20.0,2218.5,200
User_AB8230,45.0,3008.56,200
User_AB1414,35.0,2712.26,200
User_AB5306,51.0,765.87,404
User_AB3771,55.0,4479.0,404
User_AB5509,29.0,4076.61,404
User_AB1504,38.0,283.68,200
User_AB9959,50.0,1826.5,404
User_AB2533,27.0,733.68,200
User_AB8451,32.0,4140.54,500
User_AB3997,42.0,1636.75,200
User_AB8626,21.0,2810.81,500
User_AB8684,28.0,1195.28,404
User_AB8828,54.0,4133.0,500
,61.0,2164.03,404
User_AB4157,33.0,386.69,404
User_AB9700,51.0,3953.27,404
User_AB1958,43.0,1000.39,Error
User_AB3356,24.0,4161.01,200
User_AB9664,23.0,1619.18,500
User_AB8838,61.0,1833.09,404
User_AB7525,22.0,1577.27,404
User_AB3788,49.0,4509.73,200
User_AB4021,40.0,2954.01,200
User_AB6854,21.0,4367.6,500
User_AB9452,49.0,3293.04,200
User_AB8001,65.0,4579.22,500
User_AB2198,,2072.96,500
User_AB9392,18.0,566.38,404
User_AB4493,20.0,1537.45,404
User_AB7873,30.0,2858.11,200
User_AB9292,,3021.9,200
User_AB9450,53.0,1581.86,500
User_AB3364,46.0,307.56,404
User_AB3620,,1856.1,200
User_AB5896,60.0,4433.52,404
User_AB3063,30.0,317.64,200
,39.0,1775.27,404
User_AB6962,36.0,3763.09,404
User_AB6800,65.0,3850.28,500
User_AB4409,33.0,4885.59,404
User_AB4882,44.0,1963.51,200
User_AB1745,48.0,4684.21,200
User_AB6604,57.0,2948.71,404
User_AB7093,37.0,1636.78,404
User_AB7963,,670.7,404
User_AB3889,24.0,2039.2,200
User_AB3115,44.0,4017.94,404
User_AB7127,43.0,1314.9,404
User_AB6943,49.0,1809.29,404
User_AB1729,,2733.59,500
User_AB2200,53.0,2891.06,404
,18.0,3376.45,500
User_AB1904,,3199.72,404
,45.0,2914.11,500
User_AB9993,49.0,4576.38,500
User_AB4400,60.0,3502.92,200
User_AB6467,24.0,1657.1,Error
User_AB4607,31.0,3633.84,500
User_AB3576,50.0,139.38,200
User_AB1105,,243.26,404
User_AB1848,29.0,2192.08,200
User_AB3315,36.0,357.96,OK
User_AB6458,20.0,2747.99,500
User_AB3036,,2408.19,200
User_AB9135,18.0,1080.37,200
User_AB8034,,597.17,200
User_AB5190,34.0,3984.62,200
User_AB2267,,4830.24,404
User_AB9078,,3767.96,200
User_AB3187,22.0,1339.53,200
User_AB8798,53.0,2455.21,500
User_AB6611,29.0,1390.39,404
User_AB1221,65.0,726.13,500
User_AB8604,53.0,1246.16,500
User_AB3810,31.0,700.23,500
User_AB2374,61.0,235.55,Error
User_AB6150,34.0,1854.12,200
User_AB6674,57.0,3763.59,200
User_AB1067,47.0,4494.89,200
User_AB2333,43.0,4443.23,200
User_AB4495,,1379.36,200
User_AB9685,41.0,4236.68,404
User_AB9457,28.0,1108.82,500
User_AB8656,,3144.32,404
User_AB4976,22.0,2980.62,404
User_AB9057,20.0,634.96,200
User_AB3938,44.0,4947.81,404
User_AB7635,54.0,735.09,200
User_AB9589,58.0,4424.87,404
User_AB1379,19.0,769.09,404
User_AB8586,,1246.9,404
,31.0,1514.34,200
User_AB1445,40.0,1591.74,200
User_AB4464,48.0,4402.91,200
User_AB8377,23.0,3527.27,500
User_AB4548,33.0,1201.66,200
User_AB7254,42.0,4745.18,404
User_AB9092,29.0,2339.48,404
User_AB4799,32.0,962.72,500
User_AB4329,51.0,4436.86,200
User_AB3257,,4401.76,500
User_AB9992,26.0,4899.25,404
User_AB4613,,4367.47,Error
User_AB5210,42.0,480.83,404
User_AB1708,63.0,2719.5,200
,23.0,1325.42,200
User_AB4385,47.0,3196.82,404
User_AB8655,61.0,979.19,200
User_AB6040,61.0,2062.29,200
User_AB1189,65.0,1263.08,404
User_AB1140,58.0,4708.73,500
User_AB2470,48.0,1616.04,200
User_AB6445,29.0,3052.39,Pending
User_AB2703,53.0,1493.82,500
User_AB7690,54.0,4279.6,404
User_AB4162,38.0,2524.64,404
User_AB1728,47.0,3157.61,404
User_AB2640,39.0,2433.17,200
User_AB6161,47.0,2771.22,404
User_AB9738,65.0,867.9,404
User_AB9521,25.0,2097.42,200
User_AB6059,21.0,359.84,500
User_AB6760,58.0,1109.73,404
User_AB1729,47.0,307.07,200
,29.0,2190.57,404
User_AB6802,61.0,1058.9,200
User_AB5122,18.0,4956.17,500
User_AB3501,34.0,4288.33,500
User_AB6729,60.0,4167.58,404
User_AB3497,60.0,1170.96,500
User_AB5739,57.0,1148.2,404
User_AB9580,38.0,4265.45,200
User_AB5495,41.0,4227.75,200
User_AB7377,,215.01,500
User_AB3247,48.0,2024.95,404
User_AB9203,,3600.19,404
User_AB9902,29.0,2355.68,404
,41.0,4115.91,200
User_AB9954,31.0,2111.56,500
User_AB1492,25.0,4095.63,200
User_AB8031,36.0,342.91,200
User_AB8460,37.0,4956.02,404
User_AB6712,27.0,1247.06,200
User_AB9745,57.0,1934.39,500
User_AB5365,39.0,115.3,404
User_AB8669,23.0,2338.35,200
User_AB8380,34.0,1065.77,404
User_AB1593,44.0,2629.21,500
User_AB7455,54.0,888.28,200
User_AB3176,45.0,3025.29,404
User_AB3055,20.0,906.72,200
User_AB5642,24.0,3539.2,404
User_AB2976,48.0,4472.88,404
User_AB1336,44.0,1617.08,200
User_AB4524,25.0,3487.67,500
User_AB4665,,2746.57,OK
User_AB4076,65.0,4425.25,200
User_AB3832,64.0,4826.31,404
User_AB7811,61.0,4405.75,Error
User_AB4903,18.0,858.06,404
User_AB6430,41.0,2181.83,500
User_AB8641,27.0,1996.16,404
User_AB1162,57.0,1533.6,500
User_AB3042,63.0,1277.28,200
User_AB7472,32.0,4387.27,404
User_AB2184,47.0,2092.16,200
,51.0,4230.45,500
User_AB6792,,3472.47,500
User_AB7973,58.0,2528.64,500
,52.0,2161.26,200
User_AB8941,35.0,4764.16,200
User_AB3654,61.0,1263.73,500
User_AB6902,,971.64,200
User_AB5787,18.0,3721.18,200
User_AB5186,,3216.51,404
User_AB5169,,2484.81,404
User_AB8221,45.0,2354.1,404
User_AB3801,18.0,4495.06,404
User_AB4805,55.0,684.04,500
User_AB1217,,4559.77,500
User_AB7702,,3370.8,200
User_AB6092,26.0,4351.2,200
User_AB8596,,3261.7,404
User_AB2412,54.0,201.5,200
User_AB6056,43.0,1968.69,500
User_AB7655,25.0,1450.16,200
User_AB7078,36.0,4776.58,500
User_AB3873,43.0,1003.53,200
User_AB5719,43.0,1383.98,Pending
User_AB1430,46.0,4086.32,200
User_AB5419,63.0,591.01,OK
User_AB8301,60.0,1334.1,Error
User_AB8176,43.0,3804.44,500
User_AB5768,35.0,244.39,404
User_AB1578,45.0,269.83,200
User_AB4790,56.0,2332.89,404
User_AB7681,19.0,742.7,404
User_AB3624,39.0,1965.7,404
User_AB8686,27.0,2204.01,200
User_AB9043,31.0,4019.08,OK
User_AB5428,54.0,2487.11,404
User_AB8781,65.0,3816.61,200
User_AB8116,46.0,342.03,404
User_AB4569,,1193.74,200
User_AB3318,48.0,1185.09,500
User_AB8993,42.0,4263.95,500
User_AB6462,63.0,3861.65,200
User_AB4579,33.0,3003.29,500
User_AB6646,59.0,1036.24,200
User_AB1236,54.0,572.76,404
User_AB9605,62.0,2288.77,500
User_AB3268,44.0,3925.82,200
User_AB6476,50.0,4769.71,500
User_AB2907,51.0,3271.55,500
User_AB1111,21.0,3902.47,200
User_AB9862,33.0,4240.37,200
User_AB2681,41.0,2253.98,OK
User_AB2819,47.0,1639.17,500
User_AB5510,27.0,2111.74,404
User_AB1517,53.0,772.79,200
User_AB2413,,1861.48,500
User_AB2286,44.0,3416.85,500
User_AB8608,,1509.67,200
User_AB9676,21.0,852.14,500
User_AB1046,52.0,4989.91,200
User_AB7175,63.0,1673.2,404
User_AB1581,54.0,3940.75,404
User_AB4694,55.0,2750.71,200
User_AB6879,64.0,1889.46,404
User_AB7962,51.0,4713.52,500
,56.0,450.1,500
User_AB9521,45.0,1574.06,500
User_AB7814,45.0,2940.83,200
User_AB3468,32.0,2506.11,200
,45.0,2082.64,404
User_AB1562,37.0,3445.44,404
User_AB8756,47.0,368.56,200
User_AB2286,,3537.88,500
User_AB4964,42.0,4594.52,200
User_AB3403,27.0,395.25,Pending
User_AB8389,36.0,1985.23,404
User_AB7379,42.0,3486.21,500
User_AB9110,36.0,1950.33,404
User_AB2415,43.0,1112.89,200
User_AB3146,42.0,140.98,404
User_AB8274,,3390.22,500
User_AB8433,,1110.82,404
User_AB2829,29.0,2894.07,200
User_AB2925,42.0,2248.47,200
User_AB8443,29.0,3470.48,200
User_AB1370,22.0,2506.28,200
User_AB9463,54.0,167.64,404
User_AB2674,41.0,4750.17,500
User_AB1137,,4045.68,404
User_AB1371,41.0,3232.16,500
User_AB8489,37.0,1670.01,404
User_AB1599,23.0,4409.02,200
User_AB4957,35.0,2844.55,500
User_AB1126,47.0,3437.26,500
User_AB7477,31.0,2007.22,404
User_AB6768,60.0,3951.01,200
,63.0,2784.54,404
User_AB7170,63.0,4767.9,404
User_AB9412,29.0,974.05,404
User_AB2464,23.0,3416.98,200
User_AB1152,33.0,4382.59,200
User_AB2791,55.0,4810.55,500
User_AB6056,32.0,744.62,404
User_AB3449,65.0,3979.77,500
User_AB9383,38.0,227.26,500
User_AB8212,36.0,1219.69,404
User_AB2237,50.0,2294.12,500
User_AB8280,40.0,2874.88,200
User_AB4966,55.0,4465.32,Error
User_AB1543,51.0,943.92,OK
User_AB4174,54.0,4132.87,404
User_AB6144,63.0,2897.93,200
User_AB3513,,2798.57,404
User_AB3238,35.0,4162.53,200
User_AB8660,,4712.34,200
User_AB7885,39.0,322.81,200
User_AB5802,,4192.74,500
User_AB2695,28.0,1115.4,404
User_AB3950,,2525.78,200
User_AB8264,42.0,666.21,404
User_AB8943,30.0,2949.51,500
User_AB6041,56.0,1925.21,200
User_AB4245,56.0,3820.26,404
User_AB4683,51.0,3431.09,500
User_AB3136,50.0,3086.3,500
User_AB2887,24.0,4174.61,200
User_AB4074,26.0,4148.04,200
User_AB8032,59.0,1702.03,500
User_AB3628,42.0,1411.02,500
User_AB2909,64.0,2543.53,404
User_AB7364,35.0,686.01,500
User_AB2918,33.0,1413.88,200
User_AB5883,22.0,1635.93,500
User_AB4369,54.0,577.88,404
,54.0,2874.9,500
User_AB4477,58.0,1285.28,404
User_AB9576,40.0,3032.07,404
User_AB9468,61.0,1505.96,404
User_AB3851,59.0,1201.92,404
User_AB3123,48.0,4874.65,200
User_AB3167,43.0,4328.2,404
User_AB9529,58.0,2861.22,404
User_AB8800,,1401.86,200
,46.0,4535.94,500
User_AB6343,19.0,3313.42,200
User_AB7194,28.0,1354.45,500
User_AB8984,50.0,4206.89,500
User_AB4003,,4349.77,404
,59.0,4037.12,404
User_AB9775,41.0,1154.02,200
User_AB9337,45.0,4976.66,404
User_AB3442,52.0,3697.32,500
User_AB3314,33.0,2953.39,404
User_AB4239,54.0,4640.25,200
User_AB9964,58.0,2079.0,500
User_AB2320,57.0,1084.16,404
User_AB9904,33.0,424.91,200
User_AB8627,30.0,1629.22,500
User_AB3296,28.0,2707.14,200
User_AB2303,,4051.11,404
User_AB6266,34.0,377.0,200
User_AB1099,47.0,1336.76,200
User_AB2926,62.0,2643.62,404
User_AB7174,52.0,2494.38,500
User_AB3917,35.0,4410.83,200
User_AB7158,62.0,1028.74,404
User_AB3895,46.0,3177.32,500
User_AB9168,35.0,1804.15,500
User_AB5651,36.0,1863.15,404
User_AB1444,28.0,1400.73,404
User_AB9772,55.0,1650.42,OK
User_AB9969,48.0,4573.25,404
User_AB4868,56.0,3840.01,200
User_AB1324,35.0,1671.69,404
User_AB9483,52.0,2914.17,200
,34.0,3913.79,500
User_AB1430,23.0,2263.98,200
User_AB1156,56.0,362.47,500
User_AB2915,35.0,3470.05,500
User_AB8188,58.0,1104.33,200
User_AB4587,48.0,3620.32,500
User_AB8246,,2189.64,404
User_AB7467,43.0,1448.1,404
User_AB1962,31.0,4546.73,200
User_AB2049,19.0,4661.74,404
User_AB5020,50.0,4643.72,500
User_AB7673,45.0,1166.36,500
,59.0,1680.93,500
User_AB7485,20.0,4171.12,500
User_AB6695,46.0,3461.51,404
User_AB9143,53.0,2287.3,404
User_AB3333,56.0,1958.71,500
User_AB1178,19.0,4704.5,500
User_AB5338,,3897.73,200
User_AB1989,,2805.13,200
User_AB8043,29.0,882.16,404
User_AB3403,20.0,2861.27,200
User_AB7596,23.0,3078.26,500
User_AB6718,26.0,2635.72,200
User_AB8948,20.0,2369.55,404
User_AB2157,29.0,1648.75,200
User_AB6779,63.0,2138.14,404
User_AB1096,18.0,836.27,Error
User_AB2100,36.0,4967.27,200
User_AB6834,25.0,3182.77,500
User_AB6262,,3795.35,404
User_AB8277,,4612.56,404
User_AB8287,32.0,1752.61,200
User_AB6334,41.0,2103.29,500
User_AB9294,55.0,3057.75,200
User_AB1655,54.0,959.32,200
User_AB6890,,2419.4,OK
User_AB4976,42.0,2199.33,500
User_AB6568,52.0,2577.56,500
User_AB8252,,1692.93,500
User_AB4451,30.0,4096.54,404
User_AB9330,,4477.42,Pending
User_AB1534,20.0,2992.07,404
User_AB9836,42.0,435.37,404
User_AB5345,18.0,4200.29,200
User_AB7613,53.0,1269.16,404
User_AB5801,19.0,4614.87,500
User_AB7915,63.0,4098.74,404
User_AB5853,30.0,1990.22,404
User_AB5248,20.0,299.34,404
User_AB3806,53.0,4144.78,404
User_AB1526,46.0,839.45,500
User_AB5866,54.0,984.34,500
User_AB9233,61.0,1644.96,404
User_AB8283,26.0,775.61,404
User_AB6388,44.0,300.53,500
User_AB1874,62.0,192.39,404
User_AB1850,42.0,4959.73,404
User_AB2889,28.0,2490.84,500
User_AB2335,19.0,3627.33,200
User_AB7971,42.0,727.09,200
User_AB6435,59.0,3414.34,404
User_AB9940,,2997.89,200
User_AB5383,54.0,3896.31,404
User_AB3220,25.0,3508.84,404
User_AB3828,26.0,2871.94,500
User_AB9013,62.0,1453.88,200
,43.0,2697.94,500
User_AB3905,65.0,2538.62,200
User_AB6021,57.0,4159.41,200
User_AB8747,36.0,1315.78,200
User_AB3834,26.0,151.51,Pending
User_AB2581,53.0,1029.45,404
User_AB3770,53.0,4584.07,500
User_AB1428,42.0,1701.15,500
User_AB6860,,1184.63,200
,30.0,4376.0,500
User_AB3091,51.0,2555.76,404
User_AB9220,60.0,2293.47,404
User_AB5232,22.0,2015.97,200
User_AB3212,48.0,3779.58,500
User_AB2814,20.0,2384.96,500
User_AB3424,26.0,3658.65,500
User_AB5341,62.0,1851.59,404
User_AB2804,44.0,3932.2,Error
User_AB3647,52.0,4200.16,500
User_AB1041,,1248.1,404
User_AB7348,43.0,2578.35,500
User_AB6200,58.0,425.53,200
User_AB8685,26.0,1167.66,404
User_AB3031,18.0,510.44,404
User_AB3396,52.0,501.79,200
User_AB9346,63.0,4840.16,200
User_AB3012,32.0,1843.45,500
User_AB5278,55.0,4558.14,500
User_AB5207,18.0,1575.93,OK
User_AB4226,40.0,2669.11,200
User_AB7379,42.0,3486.21,500
User_AB5584,37.0,3359.33,404
User_AB3973,,1955.79,200
User_AB6968,65.0,699.22,404
User_AB4300,18.0,1129.0,404
User_AB3194,,3382.85,500
User_AB5381,47.0,3409.54,200
User_AB4950,46.0,4817.12,200
User_AB6264,51.0,4855.4,500
User_AB1500,24.0,1318.19,404
User_AB5842,52.0,850.44,200
User_AB4748,57.0,355.41,Pending
User_AB4925,54.0,4292.68,404
User_AB7437,65.0,744.14,200
User_AB4585,35.0,4243.77,404
User_AB2241,23.0,929.78,404
User_AB9657,35.0,338.43,500
User_AB7014,19.0,228.42,404
User_AB1422,64.0,3709.74,200
User_AB1872,32.0,3872.4,200
User_AB5220,,1914.69,500
User_AB2307,,2788.09,200
User_AB8295,28.0,3854.88,200
,46.0,4397.0,200
User_AB5921,46.0,4986.88,404
User_AB5198,28.0,4808.52,200
User_AB6392,51.0,3330.17,500
User_AB5211,64.0,2112.63,500
User_AB2135,39.0,1512.1,Error
User_AB9964,51.0,1365.67,404
User_AB9335,31.0,2245.93,500
User_AB3858,,4659.72,500
User_AB1831,51.0,2253.83,200
User_AB3565,48.0,4511.77,404
User_AB2041,46.0,4252.84,404
User_AB5611,21.0,3282.93,200
User_AB7444,56.0,325.82,404
User_AB4784,40.0,251.42,200
User_AB9963,22.0,1903.79,200
User_AB1111,25.0,3119.94,200
User_AB5440,52.0,264.36,500
User_AB6631,58.0,2175.74,200
User_AB1647,43.0,929.37,200
User_AB6226,50.0,4604.02,Error
User_AB7033,53.0,124.1,200
User_AB5791,18.0,3466.15,200
User_AB2636,51.0,1475.15,404
User_AB6056,38.0,256.77,500
User_AB6108,58.0,3998.33,404
User_AB3103,44.0,641.99,500
User_AB5573,20.0,1126.23,404
User_AB7289,44.0,735.31,404
User_AB7927,,180.54,404
User_AB7620,43.0,2916.41,404
User_AB8011,25.0,4072.01,500
User_AB9452,60.0,1475.49,200
User_AB9155,43.0,4663.29,500
User_AB4733,62.0,4662.12,404
User_AB4883,,920.41,500
User_AB2695,27.0,4741.71,404
User_AB1034,23.0,4152.53,200
User_AB4896,30.0,1691.42,404
User_AB3923,23.0,4295.91,200
User_AB1091,53.0,772.59,200
User_AB7772,32.0,3785.93,500
User_AB8130,38.0,4373.07,200
User_AB8990,23.0,1333.51,200
User_AB1100,33.0,1320.07,404
User_AB2619,47.0,2875.53,500
User_AB6794,60.0,482.52,500
User_AB7962,58.0,1349.82,404
User_AB1483,36.0,554.1,404
User_AB5582,23.0,2566.59,404
User_AB2812,44.0,4854.6,500
User_AB4646,19.0,2280.86,404
User_AB4654,40.0,753.23,500
User_AB8211,34.0,2292.81,404
User_AB4663,42.0,4161.12,404
User_AB1127,19.0,3360.41,200
User_AB4417,20.0,3316.02,500
User_AB7769,34.0,1692.0,500
User_AB4742,61.0,919.28,200
User_AB6849,56.0,2337.12,200
User_AB9377,,4567.4,500
User_AB3919,45.0,435.05,500
User_AB5018,60.0,150.56,200
User_AB2205,51.0,716.48,500
User_AB6512,63.0,1620.09,500
User_AB3814,,2858.57,404
User_AB4065,52.0,548.41,200
User_AB3179,58.0,4953.84,500
User_AB7245,,3420.01,404
User_AB2982,60.0,1085.87,404
,32.0,4592.39,500
User_AB1913,46.0,2486.99,404
User_AB2299,39.0,2386.59,200
User_AB6269,53.0,832.23,500
User_AB7589,29.0,2459.71,500
User_AB5612,54.0,2170.61,200
User_AB5469,20.0,1668.62,200
User_AB4044,40.0,2109.81,500
User_AB4829,56.0,2174.84,404
,58.0,1339.68,404
User_AB7266,35.0,2024.12,200
User_AB5259,19.0,777.76,200
User_AB1975,18.0,2724.85,404
User_AB4136,50.0,1353.98,200
User_AB6037,32.0,527.63,200
User_AB3399,63.0,2963.0,500
User_AB8259,36.0,1845.06,200
User_AB7794,45.0,3738.87,200
User_AB5327,60.0,1978.0,500
User_AB5965,54.0,992.0,200
User_AB3318,31.0,3463.37,500
User_AB2525,,3779.76,500
User_AB4253,58.0,2099.22,500
User_AB4455,58.0,1266.37,404
User_AB3375,30.0,1122.93,404
User_AB4311,28.0,1147.74,404
User_AB5528,52.0,153.12,404
User_AB2101,22.0,3686.18,404
User_AB5468,25.0,4910.57,Pending
User_AB4473,64.0,2865.7,404
User_AB6562,26.0,4236.04,500
User_AB4919,21.0,905.45,500
User_AB9846,58.0,3243.72,500
User_AB9270,20.0,3437.21,500
User_AB6226,57.0,1884.91,500
User_AB5254,36.0,184.21,200
User_AB7685,53.0,764.58,404
User_AB1236,23.0,4098.1,500
User_AB4569,32.0,4148.75,500
User_AB3164,19.0,261.25,200
User_AB2347,55.0,1279.84,200
,19.0,3813.84,404
User_AB5415,21.0,4509.6,404
User_AB4276,46.0,2668.98,500
User_AB9071,20.0,1138.29,200
User_AB8236,54.0,4236.32,200
User_AB3608,50.0,4410.57,500
User_AB6024,63.0,4273.77,404
User_AB6936,,3861.08,404
User_AB6948,25.0,3145.77,200
User_AB5444,34.0,1995.22,500
User_AB4164,37.0,147.07,200
User_AB7570,47.0,3427.52,404
User_AB9356,48.0,628.06,500
,40.0,2070.35,200
User_AB6310,38.0,3587.53,200
User_AB9865,39.0,915.73,404
,31.0,1514.34,200
User_AB4048,19.0,820.91,500
User_AB4249,45.0,1801.16,404
User_AB4852,61.0,4298.77,500
User_AB6610,23.0,893.51,500
User_AB1131,62.0,656.15,OK
User_AB1386,48.0,485.57,500
User_AB6142,58.0,2241.49,200
User_AB6001,,1811.38,404
User_AB2652,33.0,3782.8,500
User_AB3252,48.0,2895.64,200
User_AB8927,52.0,4058.57,200
User_AB4174,45.0,1202.82,404
User_AB1690,62.0,3827.85,500
User_AB2158,42.0,3474.91,500
,19.0,4198.3,500
User_AB5451,30.0,1032.19,404
User_AB6953,64.0,4298.51,500
User_AB7576,59.0,2082.77,200
User_AB3741,25.0,1337.27,200
User_AB1271,,1590.11,200
User_AB7154,,468.45,404
User_AB9173,29.0,2810.38,500
User_AB8471,62.0,4810.97,200
User_AB3074,47.0,1957.75,404
User_AB6522,60.0,1920.7,200
User_AB9734,56.0,3428.42,404
User_AB9596,32.0,1829.64,500
User_AB3913,29.0,3858.1,200
User_AB1456,29.0,2941.67,404
User_AB3129,42.0,3309.24,200
User_AB6631,58.0,4810.46,500
User_AB8316,30.0,4706.74,404
,47.0,1088.78,500
User_AB2034,53.0,2438.23,200
User_AB1138,,3352.98,404
User_AB6855,18.0,1383.23,200
User_AB2550,20.0,1181.52,200
User_AB3499,60.0,3541.74,200
User_AB3995,25.0,1683.18,404
User_AB5979,40.0,1866.54,200
,57.0,2218.69,200
User_AB6930,21.0,4092.62,500
User_AB1638,34.0,3847.93,200
User_AB2024,,1183.45,404
User_AB7520,51.0,4472.2,200
User_AB6296,46.0,3434.33,Error
User_AB5523,38.0,977.44,200
User_AB2193,54.0,1796.09,500
User_AB8911,26.0,1789.6,500
User_AB6832,26.0,1117.46,500
User_AB2087,40.0,793.05,404
User_AB6504,51.0,3220.19,500
User_AB3083,56.0,3042.28,200
User_AB1852,30.0,3800.77,404
User_AB9676,63.0,1151.74,500
User_AB9924,28.0,3887.48,200
User_AB5681,30.0,1906.14,404
User_AB7189,45.0,1908.4,404
User_AB2600,48.0,2712.31,500
User_AB8963,53.0,850.55,200
User_AB8010,46.0,3369.6,500
User_AB8899,57.0,3717.81,200
User_AB5160,18.0,2725.95,500
